"zip","med_inc","pop","party"
"02865",78429,16951,"Democratic"
"02871",74494,17171,"Democratic"
"02872",NA,218,"Democratic"
"02873",72273,235,"Democratic"
"02874",109375,5860,"Democratic"
"02875",80438,307,"Democratic"
"02876",58438,430,"Democratic"
"02878",73085,15780,"Democratic"
"02879",75692,20371,"Democratic"
"02881",80844,7841,"Democratic"
"02882",64852,14184,"Democratic"
"02885",54295,10627,"Democratic"
"02886",61682,29269,"Democratic"
"02888",57659,19912,"Democratic"
"02889",64006,28217,"Democratic"
"02891",60394,21198,"Democratic"
"02892",66033,4988,"Democratic"
"02893",51397,29630,"Democratic"
"02894",83417,722,"Democratic"
"02895",36058,41186,"Democratic"
"02896",77658,11537,"Democratic"
"02898",92708,1696,"Democratic"
"02903",26173,10780,"Democratic"
"02904",41649,29359,"Democratic"
"02905",41332,25223,"Democratic"
"02906",65531,28387,"Democratic"
"02907",28819,27445,"Democratic"
"02908",42640,37467,"Democratic"
"02909",32036,43540,"Democratic"
"02910",55893,21000,"Democratic"
"02911",51288,15574,"Democratic"
"02912",NA,1370,"Democratic"
"02914",40642,21963,"Democratic"
"02915",51928,16897,"Democratic"
"02916",63480,8139,"Democratic"
"02917",72983,13762,"Democratic"
"02919",56377,28790,"Democratic"
"02920",53675,37547,"Democratic"
"02921",98458,12361,"Democratic"
"03031",110809,11247,"Bipartisan"
"03032",98125,4953,"Republican"
"03033",105255,4987,"Democratic"
"03034",93359,3970,"Bipartisan"
"03036",105104,4782,"Republican"
"03037",89186,4219,"Democratic"
"03038",64642,33269,"Republican"
"03042",74609,6341,"Republican"
"03043",83393,1573,"Democratic"
"03044",82375,4263,"Republican"
"03045",69387,13560,"Republican"
"03046",99464,2758,"Democratic"
"03047",68750,1767,"Democratic"
"03048",62321,3426,"Democratic"
"03049",113125,7688,"Democratic"
"03051",88600,24480,"Democratic"
"03052",103182,8258,"Democratic"
"03053",92053,23957,"Republican"
"03054",88555,25477,"Republican"
"03055",64162,15086,"Democratic"
"03057",92396,2500,"Democratic"
"03060",44646,29357,"Democratic"
"03062",82826,26694,"Democratic"
"03063",78191,16216,"Democratic"
"03064",64026,14227,"Democratic"
"03070",99474,5254,"Democratic"
"03071",81088,5109,"Democratic"
"03076",91301,12897,"Democratic"
"03077",61488,10155,"Republican"
